Player,Position,Stat,Value,z-Score,Cluster
DeMarcus Cousins,C,AST,210.0,2.124462580321498,0
Tim Duncan,C,AST,230.0,2.4295209793878505,0
Marc Gasol,C,AST,307.0,3.6039958157933074,0
Al Horford,C,AST,244.0,2.643061858734297,0
Joakim Noah,C,AST,312.0,3.6802604155598955,0
Zaza Pachulia,C,AST,178.0,1.636369141815334,3
Nikola Jokic,C,AST,189.0,1.8041512613018278,0
Greg Monroe,C,AST,178.0,1.636369141815334,0
Earl Barron,C,3P%,0.5,1.5270724079833626,1
Dwight Howard,C,3P%,0.5,1.5270724079833626,0
Cody Zeller,C,3P%,1.0,3.911983198388423,2
Andrew Bogut,C,3P%,1.0,3.911983198388423,0
Nerlens Noel,C,3P%,0.5,1.5270724079833626,0
A.J. Hammons,C,3P%,0.5,1.5270724079833626,1
DeMarcus Cousins,C,STL,90.0,2.354401070615169,0
Gorgui Dieng,C,STL,71.0,1.5761862263573923,0
Andre Drummond,C,STL,73.0,1.6581035783845266,0
Marc Gasol,C,STL,70.0,1.535227550343825,0
DeAndre Jordan,C,STL,81.0,1.9857729864930642,0
Zaza Pachulia,C,STL,80.0,1.944814310479497,3
Nikola Jokic,C,STL,79.0,1.9038556344659299,0
Greg Monroe,C,STL,72.0,1.6171449023709594,0
Nerlens Noel,C,STL,118.0,3.501243998995051,0
Josh Huestis,PF,3P%,0.667,2.54512233750779,1
James Michael,PF,3P%,0.5,1.511824759069714,1
Johnny O'Bryant,PF,3P%,1.0,4.605530083734612,2
Boris Diaw,PF,AST,233.0,2.47194009205526,3
Pau Gasol,PF,AST,210.0,2.1258933477801194,0
Draymond Green,PF,AST,291.0,3.3445797080534394,0
Blake Griffin,PF,AST,354.0,4.2924468771549105,3
Paul Millsap,PF,AST,223.0,2.3214849858486772,3
Markieff Morris,PF,AST,192.0,1.8550741566082707,3
Josh Smith,PF,AST,277.0,3.1339425593642236,0
David West,PF,AST,223.0,2.3214849858486772,0
Thaddeus Young,PF,AST,173.0,1.5692094548157636,3
Dario Saric,PF,AST,182.0,1.7046190504016878,3
Al-Farouq Aminu,SF,BLK,62.0,3.313123396583446,2
Matt Barnes,SF,BLK,50.0,2.438244226881527,3
Nicolas Batum,SF,BLK,40.0,1.7091782521299281,3
Rudy Gay,SF,BLK,41.0,1.782084849605088,3
Jerami Grant,SF,BLK,68.0,3.7505629814344053,2
LeBron James,SF,BLK,49.0,2.365337629406367,3
Wesley Johnson,SF,BLK,45.0,2.0737112395057276,3
Kawhi Leonard,SF,BLK,48.0,2.2924310319312076,3
Andrew Wiggins,SF,BLK,50.0,2.438244226881527,3
Giannis Antetokounmpo,SG,BLK,85.0,4.972910657641763,0
Jimmy Butler,SG,BLK,36.0,1.6465635055799042,3
Tyreke Evans,SG,BLK,37.0,1.7144481413362687,3
Danny Green,SG,BLK,87.0,5.108679929154492,3
James Harden,SG,BLK,60.0,3.275794763732651,3
Kyle Korver,SG,BLK,42.0,2.053871320118091,3
K.J. McDaniels,SG,BLK,70.0,3.954641121296296,2
Klay Thompson,SG,BLK,60.0,3.275794763732651,3
Giannis Antetokounmpo,SG,TRB,542.0,3.873483463094775,0
Jimmy Butler,SG,TRB,379.0,2.345458361700923,3
Tyreke Evans,SG,TRB,416.0,2.6923106853302023,3
Danny Green,SG,TRB,343.0,2.0079804251967595,3
James Harden,SG,TRB,459.0,3.0954093317101754,3
Joe Johnson,SG,TRB,384.0,2.392330297326501,3
Kyle Korver,SG,TRB,304.0,1.6423793273172487,3
Victor Oladipo,SG,TRB,302.0,1.6236305530670174,3
Evan Turner,SG,TRB,417.0,2.701685072455318,3
Eric Bledsoe,PG,BLK,45.0,3.766377113281399,3
Michael Carter-Williams,PG,BLK,30.0,2.213769590017763,3
Jeremy Lin,PG,BLK,32.0,2.4207839264529145,3
Jeff Teague,PG,BLK,31.0,2.3172767582353386,3
Kemba Walker,PG,BLK,31.0,2.3172767582353386,3
John Wall,PG,BLK,45.0,3.766377113281399,3
Emmanuel Mudiay,PG,BLK,35.0,2.7313054311056417,3
Kris Dunn,PG,BLK,36.0,2.8348125993232176,2
Isaiah Whitehead,PG,BLK,36.0,2.8348125993232176,2
Eric Bledsoe,PG,TRB,423.0,2.7917081815076794,3
Michael Carter-Williams,PG,TRB,353.0,2.1262085806889273,3
Stephen Curry,PG,TRB,341.0,2.012122934834284,3
Reggie Jackson,PG,TRB,327.0,1.8790230146705333,3
Damian Lillard,PG,TRB,378.0,2.3638870095527675,3
Kyle Lowry,PG,TRB,328.0,1.888530151825087,3
Chris Paul,PG,TRB,376.0,2.3448727352436602,3
Elfrid Payton,PG,TRB,349.0,2.0881800320707127,3
Rajon Rondo,PG,TRB,373.0,2.3163513237799993,3
John Wall,PG,TRB,366.0,2.2498013636981242,3
Russell Westbrook,PG,TRB,488.0,3.409672096553664,3
